,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,,S&C Positrol Fuse Links,,,,,,,,,
,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,,Universal and Extra Performance Styles,,,,,,,,,
,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,,"""K"" Speed (TCC 165-6-2)",,,,,,,,,
,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,,"Total Clearing Time-Current Characteristic Curves Dated January 20, 1986",,,,,,,,,
,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,,Tolerance:  Curves are plotted to maximum test points.  All variations are minus.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6K,,8K,,10K,,12K,,15K,,20K,,25K,,30K,,40K,,50K,,65K,,80K,,100K,,140K,,200K,
,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time,Current,Time
 ,"1797,84","0,013593","1652,99","0,013744","1783,51","0,013951","2400,28","0,013882","2658,03","0,014248","3335,37","0,014276","4021,22","0,014362","5331,25","0,014319","5792,62","0,014608",6023,"0,015008","6218,85","0,01592","6784,12","0,017385","7131,95","0,019155","7788,01","0,028207","7068,05","0,05579"
 ,"1671,27","0,013607","1524,37","0,013854","1630,01","0,01412","2145,96","0,014092","2429,26","0,014477","3054,41","0,014492","3697,23","0,014608","4843,25","0,014579","5230,91","0,014918","5526,67","0,015327","5740,72","0,016405","6344,48","0,017986","6683,12","0,020097","7393,38","0,029743","6730,07","0,060135"
 ,"1561,4","0,013634","1391,78","0,013993","1486,74","0,014348","1901,39","0,014348","2209,1","0,01474","2728,04","0,014844","3352,09","0,014933","4461,95","0,014859","4752,09","0,015204","5127,33","0,015699","5374,07","0,016871","5903,73","0,018776","6319,15","0,020918","6976,76","0,031645","6344,48","0,065996"
 ,"1451,48","0,013689","1271,99","0,014162","1349,3","0,014623","1718,73","0,014637","1990,9","0,015083","2520,82","0,015129","3030,07","0,015311","4143,68","0,015083","4421,97","0,015465","4733,12","0,016177","5045,95","0,017367","5411,82","0,019977","5939,26","0,022012","6603,4","0,033804",6023,"0,071923"
 ,"1354,71","0,013744","1167,17","0,014348","1236,87","0,014888","1544,32","0,014948","1830,49","0,015403","2322,36","0,015434","2772,04","0,015667","3806,02","0,015373","4065,7","0,015841","4408,72","0,016736","4718,94","0,017968","5076,31","0,020918","5521,14","0,023443","6275,07","0,035931","5655,25","0,079885"
 ,"1253,05","0,013826","1070,99","0,014608","1138,35","0,015189","1415,64","0,01525","1636,54","0,015825","2141,67","0,015778","2548,7","0,016096","3426,66","0,015809","3802,22","0,016193","4114,78","0,017385","4426,39","0,018682","4695,41","0,022322","5230,91","0,024571","5998,95","0,038038","5320,59","0,088818"
 ,"1169,51","0,013882","964,242","0,014963","1037,26","0,015527","1309,42","0,015527","1495,68","0,016258","2010,9","0,01608",2334,"0,016636","3128,6","0,016258","3591,55","0,016586","3848,12","0,018058","4135,4","0,019582","4377,97","0,02375","4955,93","0,025935","5740,72","0,04035","4950,98","0,101149"
 ,"1060,33","0,014035","869,869","0,015311","949,887","0,015936","1212,38","0,015888","1372,43","0,016736","1858,16","0,016537","2156,71","0,017194","2862,18","0,016803","3395,95","0,017057","3613,17","0,018814","3875,15","0,020503","4005,17","0,025857","4667,32","0,027456","5444,39","0,043232","4584,06","0,116581"
 ,"971,016","0,014191","781,6","0,015683","862,076","0,016454","1114,7","0,016356","1277,09","0,017177","1688,07","0,017194","2012,92","0,017736","2658,03","0,017333","3172,71","0,017665","3368,9","0,019818","3631,28","0,021576","3730,66","0,027677","4444,13","0,028806","5127,33","0,047068","4252,83","0,134638"
 ,"883,016","0,014391","703,694","0,016177","797,389","0,016905","1024,89","0,016922","1175,37","0,017825","1578,67","0,017665","1869,34","0,018386","2451,22","0,017932","2955,25","0,018386","3179,06","0,02073","3338,71","0,023257","3399,35","0,030496","4240,09","0,030283","4882,15","0,05038","3949,48","0,155959"
